date,location_name,day_length,sunrise,sunset,daily_increase,total_increase,reference_date
2026-02-16,Grua,09:17:00,2026-02-16T07:53+01:00,2026-02-16T17:10+01:00,00:00:00,00:00:00,2026-02-16
2026-02-23,Grua,09:54:00,2026-02-23T07:34+01:00,2026-02-23T17:28+01:00,00:00:00,00:00:00,2026-02-23
2026-03-02,Grua,10:33:00,2026-03-02T07:13+01:00,2026-03-02T17:46+01:00,00:00:00,00:00:00,2026-03-02
2026-03-09,Grua,11:12:00,2026-03-09T06:52+01:00,2026-03-09T18:04+01:00,00:00:00,00:00:00,2026-03-09
2026-03-16,Grua,11:50:00,2026-03-16T06:31+01:00,2026-03-16T18:21+01:00,00:00:00,00:00:00,2026-03-16
2026-03-23,Grua,12:29:00,2026-03-23T06:10+01:00,2026-03-23T18:39+01:00,00:00:00,00:00:00,2026-03-23
2026-03-30,Grua,13:08:00,2026-03-30T06:48+02:00,2026-03-30T19:56+02:00,00:00:00,00:00:00,2026-03-30
2026-04-06,Grua,13:46:00,2026-04-06T06:27+02:00,2026-04-06T20:13+02:00,00:00:00,00:00:00,2026-04-06
2026-04-13,Grua,14:25:00,2026-04-13T06:06+02:00,2026-04-13T20:31+02:00,00:00:00,00:00:00,2026-04-13
2026-04-20,Grua,15:03:00,2026-04-20T05:45+02:00,2026-04-20T20:48+02:00,00:00:00,00:00:00,2026-04-20
2026-04-27,Grua,15:41:00,2026-04-27T05:25+02:00,2026-04-27T21:06+02:00,00:00:00,00:00:00,2026-04-27
2026-05-04,Grua,16:18:00,2026-05-04T05:06+02:00,2026-05-04T21:24+02:00,00:00:00,00:00:00,2026-05-04
2026-05-11,Grua,16:54:00,2026-05-11T04:47+02:00,2026-05-11T21:41+02:00,00:00:00,00:00:00,2026-05-11
2026-05-18,Grua,17:27:00,2026-05-18T04:31+02:00,2026-05-18T21:58+02:00,00:00:00,00:00:00,2026-05-18
2026-05-25,Grua,17:57:00,2026-05-25T04:16+02:00,2026-05-25T22:13+02:00,00:00:00,00:00:00,2026-05-25
2026-06-01,Grua,18:23:00,2026-06-01T04:04+02:00,2026-06-01T22:27+02:00,00:00:00,00:00:00,2026-06-01
2026-06-08,Grua,18:43:00,2026-06-08T03:55+02:00,2026-06-08T22:38+02:00,00:00:00,00:00:00,2026-06-08
2026-06-15,Grua,18:55:00,2026-06-15T03:50+02:00,2026-06-15T22:45+02:00,00:00:00,00:00:00,2026-06-15
2026-06-22,Grua,18:58:00,2026-06-22T03:50+02:00,2026-06-22T22:48+02:00,00:00:00,00:00:00,2026-06-22
